Nikolas,Friesen,female,1998-12-24,agustina_braun@wintheiser.info,+624498977145,110
Randi,Halvorson,male,1997-01-29,heber.upton@bechtelarwisozk.biz,+626974362633,175
Dwiky,Erlangga,airplane,2020-02-30,DwikiKeren@emailBuatanDwiki.com, +6278788787878,165
Setiawan,Anggrenawan,female,2040-09-32,Setiseti@gmail.com,+62514231731,160
Sravan,Lavar,notAMale,2900-10-78,IluvPizza@macbook.com,+62821341283,150
Amsal,PasalSembilan,yangPastiCowok,7070-90-12,Maknyuzzz@lulul.com,+628131312111,161
Tony,Stark,Iron,1988-12-12,Tony.Stark@company.com,+62817313213,167
Groot,IamGroot,IamGroot,1000-12-23,IamGrootIamGrootIamGroot,+62888812312,149
Tujuh,Belas,Agustus,1945-08-17,tahunEmpatLima@ItulahHariKemerdekaanKita.com,+620017081945,155
Tim,Cook,male,1001-12-09,TimCookCanDeffinitelyCookCauseHeisACookThatCookUsingACookofACook@hotmail.com,+628981212313,151
